"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MTZEN5I7","journalArticle","2017","Avinadav, T.; Chernonog, T.; Perlman, Y.","Mergers and acquisitions between risk-averse parties","European Journal of Operational Research","","","10.1016/j.ejor.2016.11.030","","","2017","2021-01-04 08:00:12","2021-01-04 08:00:12","","926-934","","3","259","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBXYJZBW","journalArticle","2020","Avinadav, T.; Chernonog, T.; Perlman, Y.; Meilijson, I.","A consignment contract with revenue-sharing between an app developer and a distribution platform","","","","","","","2020","2021-01-04 08:00:12","2021-01-04 08:00:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HNYWLDS5","journalArticle","2015","Avinadav, T.; Henig, M.I.","Exact accounting of inventory costs in stochastic periodic-review models","International Journal of Production Economics","","","10.1016/j.ijpe.2015.07.024","","","2015","2021-01-04 08:00:12","2021-01-04 08:00:12","","89-98","","","169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9QAFJJZI","journalArticle","2020","Avinadav, T.","","","","","","","","2020","2021-01-04 08:00:12","2021-01-04 08:00:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFEWZNAC","journalArticle","","Avinadav, T.","","","","","","","","","2021-01-04 08:00:12","2021-01-04 08:00:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9VIM89MT","journalArticle","2017","Aydinliyim, T.; Pangburn, M.S.; Rabinovich, E.","Inventory disclosure in online retailing","European Journal of Operational Research","","","10.1016/j.ejor.2017.01.029","","","2017","2021-01-04 08:00:12","2021-01-04 08:00:12","","195-204","","1","261","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SHFZUKW","journalArticle","2012","Babich, V.; Li, H.; Ritchken, P.; Wang, Y.","Contracting with asymmetric demand information in supply chains","European Journal of Operational Research","","","10.1016/j.ejor.2011.09.034","","","2012","2021-01-04 08:00:12","2021-01-04 08:00:12","","333-341","","2","217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ITHN4QF2","journalArticle","2020","Bart, N.; Chernonog, T.; Avinadav, T.","Revenue-sharing contracts in supply chains: a comprehensive literature review","International Journal of Production Research","","","10.1080/00207543.2020.1821929","","","2020","2021-01-04 08:00:12","2021-01-04 08:00:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGB9SW3Y","book","2016","Basker, E.","Handbook on the economics of retailing and distribution","","","","","","","2016","2021-01-04 08:00:12","2021-01-04 08:00:12","","","1","","","","","","Handbook on the Economics of Retailing and Distribution","","","","","","","","","","","","","Pages: 502 DOI: 10.4337/9781783477388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VV5P7CHU","journalArticle","2019","Berman, O.; Fazel-Zarandi, M.M.; Krass, D.","Truthful cheap talk: Why operational flexibility may lead to truthful communication","Management Science","","","10.1287/mnsc.2017.3003","","","2019","2021-01-04 08:00:12","2021-01-04 08:00:12","","1624-1641","","4","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W7DCYFZI","journalArticle","2015","Bertomeu, J.; Liang, P.J.","Disclosure policy and industry fluctuations","Management Science","","","10.1287/mnsc.2014.2003","","","2015","2021-01-04 08:00:12","2021-01-04 08:00:12","","1292-1305","","6","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMWWRQTJ","journalArticle","2012","Çakanyildirim, M.; Feng, Q.; Gan, X.; Sethi, S.P.","Contracting and coordination under asymmetric production cost information","Production and Operations Management","","","10.1111/j.1937-5956.2011.01258.x","","","2012","2021-01-04 08:00:12","2021-01-04 08:00:12","","345-360","","2","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEH4XEJ2","journalArticle","2007","Chakravarty, A.K.; Zhang, J.","Collaboration in contingent capacities with information asymmetry","Naval Research Logistics","","","10.1002/nav.20217","","","2007","2021-01-04 08:00:12","2021-01-04 08:00:12","","421-432","","4","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L9Y6R345","journalArticle","2002","Chen, F.","Information sharing and supply chain coordination","Information Sharing and Supply Chain Coordination","","","","","","2002","2021-01-04 08:00:12","2021-01-04 08:00:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76F9S6DC","journalArticle","2015","Chen, Y.-J.; Deng, M.","Information sharing in a manufacturer-supplier relationship: Suppliers' incentive and production efficiency","Production and Operations Management","","","10.1111/poms.12261","","","2015","2021-01-04 08:00:12","2021-01-04 08:00:12","","619-633","","4","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DK34XDKL","journalArticle","2018","Chernonog, T.","Consignment Contract with Revenue Sharing in Online Retailing under Strategic Information Sharing. Working Paper","","","","","","","2018","2021-01-04 08:00:12","2021-01-04 08:00:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EWSLK84","journalArticle","2014","Chernonog, T.; Avinadav, T.","Profit criteria involving risk in price setting of virtual products","European Journal of Operational Research","","","10.1016/j.ejor.2013.12.004","","","2014","2021-01-04 08:00:13","2021-01-04 08:00:13","","351-360","","1","236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDKRDE2S","journalArticle","2019","Chernonog, T.; Avinadav, T.","Pricing and advertising in a supply chain of perishable products under asymmetric information","International Journal of Production Economics","","","10.1016/j.ijpe.2017.10.002","","","2019","2021-01-04 08:00:13","2021-01-04 08:00:13","","249-264","","","209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P485FEKJ","journalArticle","2015","Chernonog, T.; Avinadav, T.; Ben-Zvi, T.","Pricing and sales-effort investment under bi-criteria in a supply chain of virtual products involving risk","European Journal of Operational Research","","","10.1016/j.ejor.2015.05.024","","","2015","2021-01-04 08:00:13","2021-01-04 08:00:13","","471-475","","2","246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZFYCP75","journalArticle","2014","Chernonog, T.; Kogan, K.","The effect of risk aversion on a supply chain with postponed pricing","Journal of the Operational Research Society","","","10.1057/jors.2013.85","","","2014","2021-01-04 08:00:13","2021-01-04 08:00:13","","1396-1411","","9","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NG9XRKSM","journalArticle","2016","Chu, L.Y.; Shamir, N.; Shin, H.","Strategic communication for capacity alignment with pricing in a supply chain","Manag. Sci.","","","","","","2016","2021-01-04 08:00:13","2021-01-04 08:00:13","","3999-4446","","","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QAXNBF5","journalArticle","2006","Chu, W.H.J.; Lee, C.C.","Strategic information sharing in a supply chain","European Journal of Operational Research","","","10.1016/j.ejor.2005.02.053","","","2006","2021-01-04 08:00:13","2021-01-04 08:00:13","","1567-1579","","3","174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FL7J2LG3","journalArticle","1982","Crawford, V.; Sobel, J.","Strategic information transmission","Econometrica","","","","","","1982","2021-01-04 08:00:13","2021-01-04 08:00:13","","1431-1451","","6","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8QJHZR2","journalArticle","2017","Cui, R.; Shin, H.","Sharing aggregate inventory information with customers: strategic cross-selling and shortage reduction","Manag. Sci.","","","","","","2017","2021-01-04 08:00:13","2021-01-04 08:00:13","","491-493","","","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLMNFK38","journalArticle","2015","Delaney, L.; Thijssen, J.J.J.","The impact of voluntary disclosure on a firm's investment policy","European Journal of Operational Research","","","10.1016/j.ejor.2014.09.047","","","2015","2021-01-04 08:00:13","2021-01-04 08:00:13","","232-242","","1","242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXALJE6I","journalArticle","2015","Feng, Q.; Lai, G.; Lu, L.X.","Dynamic bargaining in a supply chain with asymmetric demand information","Management Science","","","10.1287/mnsc.2014.1938","","","2015","2021-01-04 08:00:13","2021-01-04 08:00:13","","301-315","","2","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QCV92L3R","journalArticle","1991","Fudenberg, D.; Tirole, J.","","Game Theory","","","","","","1991","2021-01-04 08:00:13","2021-01-04 08:00:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IYT5TXN","journalArticle","2008","Gal-Or, E.; Geylani, T.; Dukes, A.J.","Information sharing in a channel with partially informed retailers","Marketing Science","","","10.1287/mksc.1070.0316","","","2008","2021-01-04 08:00:13","2021-01-04 13:23:12","","642-658","","4","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQJZ78WR","journalArticle","2019","Gan, X.; Feng, Q.; Sethi, S.P.","Sourcing Contract under Countervailing Incentives","Production and Operations Management","","","10.1111/poms.13057","","","2019","2021-01-04 08:00:13","2021-01-04 08:00:13","","2486-2499","","10","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQHQ474A","journalArticle","2014","Gao, L.; Li, Z.; Shou, B.","Information acquisition and voluntary disclosure in an export-processing system","Production and Operations Management","","","10.1111/poms.12099","","","2014","2021-01-04 08:00:13","2021-01-04 08:00:13","","802-816","","5","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6JAPUTMK","journalArticle","2003","Gerchak, Y.; Khmelnitsky, E.","A consignment system where suppliers cannot verify retailer's sales reports","International Journal of Production Economics","","","10.1016/S0925-5273(02)00264-5","","","2003","2021-01-04 08:00:13","2021-01-04 08:00:13","","37-43","","1","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS2PRN6G","journalArticle","2007","Gerchak, Y.; Khmelnitsky, E.; Robinson, L.W.","Untruthful probabilistic demand forecasts in vendor-managed revenue-sharing contracts: Coordinating the chain","Naval Research Logistics","","","10.1002/nav.20249","","","2007","2021-01-04 08:00:13","2021-01-04 08:00:13","","742-749","","7","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTIW8EIN","journalArticle","2018","Gilbert, B.","One crazy statistic shows how incredibly big 'Fortnite' has become in less than a year","Business Insider","","","","","","2018","2021-01-04 08:00:13","2021-01-04 08:00:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZQ5DUB8","journalArticle","2020","","Transaction fees","Play Console Help","","","","","","2020","2021-01-04 08:00:13","2021-01-04 08:00:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3LUWGXS","journalArticle","1992","Grimmett, G.R.; Stirzaker, D.R.","","Probability and Random Processes","","","","","","1992","2021-01-04 08:00:13","2021-01-04 08:00:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78YMVQY8","journalArticle","2017","Guan, X.; Chen, Y.-J.","The Interplay between Information Acquisition and Quality Disclosure","Production and Operations Management","","","10.1111/poms.12651","","","2017","2021-01-04 08:00:13","2021-01-04 08:00:13","","389-408","","3","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKNYCPDU","journalArticle","2010","Guo, L.; Iyer, G.","Information acquisition and sharing in a vertical relationship","Marketing Science","","","10.1287/mksc.1090.0534","","","2010","2021-01-04 08:00:13","2021-01-04 08:00:13","","483-506","","3","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9QLJK57Z","journalArticle","2014","Guo, L.; Li, T.; Zhang, H.","Strategic information sharing in competing channels","Production and Operations Management","","","10.1111/poms.12195","","","2014","2021-01-04 08:00:13","2021-01-04 08:00:13","","1719-1731","","10","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRNHRD3G","journalArticle","2001","Ha, A.Y.","Supplier-buyer contracting: Asymmetric cost information and cutoff level policy for buyer participation","Naval Research Logistics","","","10.1002/1520-6750(200102)48:1<41::AID-NAV3>3.0.CO;2-M","","","2001","2021-01-04 08:00:13","2021-01-04 08:00:13","","41-64","","1","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IZ6TQ2G","journalArticle","1995","Hartl, Richard F.; Sethi, Suresh P.; Vickson, Raymond G.","Survey of the maximum principles for optimal control problems with state constraints","SIAM Review","","","10.1137/1037043","","","1995","2021-01-04 08:00:13","2021-01-04 08:00:13","","181-218","","2","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IVC644F","journalArticle","2014","Heese, H.S.; Kemahlioglu-Ziya, E.","Enabling opportunism: Revenue sharing when sales revenues are unobservable","Production and Operations Management","","","10.1111/poms.12163","","","2014","2021-01-04 08:00:14","2021-01-04 08:00:14","","1634-1645","","9","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4P65RHLR","journalArticle","2016","Heese, H.S.; Kemahlioʇlu-Ziya, E.","Don't ask, don't tell: Sharing revenues with a dishonest retailer","European Journal of Operational Research","","","10.1016/j.ejor.2015.07.054","","","2016","2021-01-04 08:00:14","2021-01-04 08:00:14","","580-592","","2","248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HGGYLKKS","journalArticle","2012","Hillegas, H.","iOS app distribution options","IOS App Distribution Options","","","","","","2012","2021-01-04 08:00:14","2021-01-04 08:00:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XZBA7AQ","journalArticle","2015","Hoppe, E.I.; Schmitz, P.W.","Do sellers offer menus of contracts to separate buyer types? An experimental test of adverse selection theory","Games and Economic Behavior","","","10.1016/j.geb.2014.11.001","","","2015","2021-01-04 08:00:14","2021-01-04 08:00:14","","17-33","","","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UN99DQSK","journalArticle","2009","Hou, J.; Zeng, A.Z.; Zhao, L.","Achieving better coordination through revenue sharing and bargaining in a two-stage supply chain","Computers and Industrial Engineering","","","10.1016/j.cie.2008.12.004","","","2009","2021-01-04 08:00:14","2021-01-04 08:00:14","","383-394","","1","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G9F6HJIQ","journalArticle","2013","Huang, J.; Leng, M.; Parlar, M.","Demand functions in decision modeling: A comprehensive survey and research directions","Decision Sciences","","","10.1111/deci.12021","","","2013","2021-01-04 08:00:14","2021-01-04 13:23:28","","557-609","","3","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LL6YYEUX","journalArticle","2011","Jiang, B.; Jerath, K.; Srinivasan, K.","Firm strategies in the ""mid tail"" of platform-based retailing","Marketing Science","","","10.1287/mksc.1110.0656","","","2011","2021-01-04 08:00:14","2021-01-04 13:23:34","","757-775","","5","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LYU8CJ3K","journalArticle","2016","Jiang, B.; Tian, L.; Xu, Y.; Zhang, F.","To share or not to share: Demand forecast sharing in a distribution channel","Marketing Science","","","10.1287/mksc.2016.0981","","","2016","2021-01-04 08:00:14","2021-01-04 13:23:35","","800-809","","5","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8JC4JDJ","journalArticle","2013","Kim, S.-H.; Netessine, S.","Collaborative cost reduction and component procurement under information asymmetry","Management Science","","","10.1287/mnsc.1120.1573","","","2013","2021-01-04 08:00:14","2021-01-04 08:00:14","","189-206","","1","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZYDUZDH","journalArticle","1997","Lariviere, M.A.; Padmanabhan, V.","Slotting allowances and new product introductions","Marketing Science","","","10.1287/mksc.16.2.112","","","1997","2021-01-04 08:00:14","2021-01-04 08:00:14","","112-128","","2","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ2HUX4X","journalArticle","2002","Laffont, J.-J.; Martimort, D.","","The Theory of Incentives: The Principal-Agent Model","","","","","","2002","2021-01-04 08:00:14","2021-01-04 08:00:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7SWGP2P","journalArticle","2001","Hing-Ling Lau, A.; Lau, H.-S.","Some two-echelon style-goods inventory models with asymmetric market information","European Journal of Operational Research","","","10.1016/S0377-2217(00)00236-8","","","2001","2021-01-04 08:00:14","2021-01-04 08:00:14","","29-42","","1","134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMXNY95A","journalArticle","2005","Lau, A.H.L.; Lau, H.-S.","Some two-echelon supply-chain games: Improving from deterministic- symmetric-information to stochastic-asymmetric-information models","European Journal of Operational Research","","","10.1016/j.ejor.2003.08.040","","","2005","2021-01-04 08:00:14","2021-01-04 08:00:14","","203-223","","1","161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPAN8GLJ","journalArticle","2010","Lau, A.H.L.; Lau, H.-S.; Wang, J.-C.","Usefulness of resale price maintenance under different levels of sales-effort cost and system-parameter uncertainties","European Journal of Operational Research","","","10.1016/j.ejor.2009.08.011","","","2010","2021-01-04 08:00:14","2021-01-04 08:00:14","","513-525","","2","203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ETUVFD9","journalArticle","2012","Lau, H.-S.; Su, C.; Wang, Y.-Y.; Hua, Z.-S.","Volume discounting coordinates a supply chain effectively when demand is sensitive to both price and sales effort","Computers and Operations Research","","","10.1016/j.cor.2012.04.014","","","2012","2021-01-04 08:00:14","2021-01-04 08:00:14","","3267-3280","","12","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XP4H22ES","journalArticle","2015","Li, Q.; Liu, Z.","Supply chain coordination via a two-part tariff contract with price and sales effort dependent demand","Decision Science Letters","","","10.5267/j.dsl.2014.9.003","","","2015","2021-01-04 08:00:14","2021-01-04 08:00:14","","27-34","","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
